chrom,start,end,lo,hi,region
chr7,38200000,39250000,764,785,chr7:0-59850000
chr20,31500000,32550000,630,651,chr20:27500000-63025520
chr15,1900000,2950000,38,59,chr15:0-18250000
chr11,35700000,36750000,714,735,chr11:0-53650000
chr8,10450000,11500000,209,230,chr8:0-45600000
chr21,19650000,20700000,393,414,chr21:12600000-48129895
chr7,2850000,3900000,57,78,chr7:0-59850000
chr19,32700000,33750000,654,675,chr19:26500000-59128983
chr11,950000,2000000,19,40,chr11:0-53650000
chr11,16300000,17350000,326,347,chr11:0-53650000
chr21,28050000,29100000,561,582,chr21:12600000-48129895
chr4,10850000,11900000,217,238,chr4:0-50450000
chr8,2150000,3200000,43,64,chr8:0-45600000
chr3,21250000,22300000,425,446,chr3:0-90900000
chr22,12950000,14000000,259,280,chr22:0-15050000
chr21,5850000,6900000,117,138,chr21:0-12600000
chr2,12650000,13700000,253,274,chr2:0-93650000
chr12,1350000,2400000,27,48,chr12:0-35750000
chr6,37200000,38250000,744,765,chr6:0-61000000
chr2,26400000,27450000,528,549,chr2:0-93650000
chr21,22500000,23550000,450,471,chr21:12600000-48129895
chr1,13550000,14600000,271,292,chr1:0-125200000
chr12,18550000,19600000,371,392,chr12:0-35750000
chr22,20150000,21200000,403,424,chr22:15050000-51304566
chr12,21800000,22850000,436,457,chr12:0-35750000
chr17,-250000,800000,-5,16,chr17:0-24000000
chr10,3050000,4100000,61,82,chr10:0-40150000
chr16,8050000,9100000,161,182,chr16:0-36600000
chr15,18900000,19950000,378,399,chr15:18250000-102531392
chr15,17500000,18550000,350,371,chr15:0-18250000
